Job 0:
  Op 0 (M2): start=0, end=9
  Op 1 (M11): start=9, end=11
  Op 2 (M5): start=11, end=31
  Op 3 (M0): start=31, end=37
  Op 4 (M3): start=37, end=38
  Op 5 (M4): start=38, end=53
  Op 6 (M7): start=53, end=55
  Op 7 (M9): start=55, end=62
  Op 8 (M1): start=62, end=66
  Op 9 (M8): start=66, end=69
  Op 10 (M10): start=69, end=86
  Op 11 (M6): start=86, end=100
Job 1:
  Op 0 (M9): start=62, end=73
  Op 1 (M2): start=73, end=88
  Op 2 (M6): start=100, end=114
  Op 3 (M10): start=114, end=128
  Op 4 (M1): start=128, end=141
  Op 5 (M8): start=141, end=156
  Op 6 (M0): start=156, end=170
  Op 7 (M4): start=170, end=181
  Op 8 (M11): start=181, end=186
  Op 9 (M7): start=186, end=203
  Op 10 (M5): start=203, end=223
  Op 11 (M3): start=223, end=227
Job 2:
  Op 0 (M8): start=156, end=159
  Op 1 (M9): start=159, end=162
  Op 2 (M3): start=227, end=228
  Op 3 (M7): start=228, end=233
  Op 4 (M1): start=233, end=240
  Op 5 (M10): start=240, end=258
  Op 6 (M5): start=258, end=260
  Op 7 (M2): start=260, end=277
  Op 8 (M11): start=277, end=279
  Op 9 (M4): start=279, end=282
  Op 10 (M0): start=282, end=300
  Op 11 (M6): start=300, end=304
Job 3:
  Op 0 (M0): start=300, end=315
  Op 1 (M2): start=315, end=319
  Op 2 (M4): start=319, end=329
  Op 3 (M11): start=329, end=339
  Op 4 (M3): start=339, end=357
  Op 5 (M8): start=357, end=371
  Op 6 (M7): start=371, end=375
  Op 7 (M6): start=375, end=386
  Op 8 (M1): start=386, end=404
  Op 9 (M9): start=404, end=423
  Op 10 (M5): start=423, end=436
  Op 11 (M10): start=436, end=440
Job 4:
  Op 0 (M7): start=375, end=386
  Op 1 (M6): start=386, end=394
  Op 2 (M2): start=394, end=406
  Op 3 (M4): start=406, end=419
  Op 4 (M8): start=419, end=423
  Op 5 (M10): start=440, end=459
  Op 6 (M11): start=459, end=467
  Op 7 (M5): start=467, end=484
  Op 8 (M3): start=484, end=485
  Op 9 (M1): start=485, end=504
  Op 10 (M0): start=504, end=510
  Op 11 (M9): start=510, end=519
Job 5:
  Op 0 (M8): start=423, end=440
  Op 1 (M2): start=440, end=444
  Op 2 (M6): start=444, end=460
  Op 3 (M1): start=504, end=524
  Op 4 (M0): start=524, end=537
  Op 5 (M10): start=537, end=551
  Op 6 (M7): start=551, end=556
  Op 7 (M11): start=556, end=568
  Op 8 (M5): start=568, end=573
  Op 9 (M3): start=573, end=584
  Op 10 (M9): start=584, end=594
  Op 11 (M4): start=594, end=610
Job 6:
  Op 0 (M0): start=537, end=538
  Op 1 (M1): start=538, end=551
  Op 2 (M8): start=551, end=553
  Op 3 (M4): start=610, end=623
  Op 4 (M5): start=623, end=636
  Op 5 (M6): start=636, end=648
  Op 6 (M7): start=648, end=649
  Op 7 (M9): start=649, end=666
  Op 8 (M10): start=666, end=686
  Op 9 (M2): start=686, end=689
  Op 10 (M11): start=689, end=692
  Op 11 (M3): start=692, end=699
Job 7:
  Op 0 (M1): start=551, end=566
  Op 1 (M9): start=666, end=683
  Op 2 (M8): start=683, end=694
  Op 3 (M5): start=694, end=700
  Op 4 (M4): start=700, end=717
  Op 5 (M6): start=717, end=722
  Op 6 (M0): start=722, end=741
  Op 7 (M11): start=741, end=744
  Op 8 (M7): start=744, end=755
  Op 9 (M2): start=755, end=756
  Op 10 (M3): start=756, end=760
  Op 11 (M10): start=760, end=769
Job 8:
  Op 0 (M5): start=700, end=717
  Op 1 (M8): start=717, end=729
  Op 2 (M6): start=729, end=732
  Op 3 (M7): start=755, end=762
  Op 4 (M0): start=762, end=776
  Op 5 (M4): start=776, end=783
  Op 6 (M3): start=783, end=800
  Op 7 (M9): start=800, end=810
  Op 8 (M10): start=810, end=814
  Op 9 (M1): start=814, end=817
  Op 10 (M2): start=817, end=826
  Op 11 (M11): start=826, end=835
Job 9:
  Op 0 (M10): start=814, end=833
  Op 1 (M4): start=833, end=852
  Op 2 (M1): start=852, end=866
  Op 3 (M0): start=866, end=874
  Op 4 (M9): start=874, end=890
  Op 5 (M5): start=890, end=894
  Op 6 (M7): start=894, end=899
  Op 7 (M3): start=899, end=903
  Op 8 (M6): start=903, end=908
  Op 9 (M11): start=908, end=914
  Op 10 (M8): start=914, end=923
  Op 11 (M2): start=923, end=934
Makespan: 934
